"word" "n" "prob"
"167" "hey" 1237 0.000819346920229258
"168" "ever" 1233 0.000816697455652931
"169" "feel" 1223 0.000810073794212112
"170" "let" 1204 0.000797488837474557
"171" "being" 1190 0.000788215711457411
"172" "sure" 1183 0.000783579148448838
"173" "after" 1173 0.000776955487008019
"174" "fun" 1171 0.000775630754719856
"175" "home" 1166 0.000772318923999446
"176" "because" 1162 0.000769669459423119
"177" "again" 1153 0.000763708164126382
"178" "keep" 1153 0.000763708164126382
"179" "nice" 1142 0.000756422136541482
"180" "œ" 1131 0.000749136108956581
"181" "something" 1125 0.00074516191209209
"182" "weekend" 1109 0.00073456405378678
"183" "bad" 1099 0.000727940392345962
"184" "school" 1091 0.000722641463193307
"185" "free" 1089 0.000721316730905143
"186" "i've" 1086 0.000719329632472898
"187" "guys" 1084 0.000718004900184734
"188" "world" 1074 0.000711381238743915
"189" "gonna" 1073 0.000710718872599833
"190" "into" 1072 0.000710056506455752
"191" "check" 1067 0.000706744675735342
"192" "things" 1065 0.000705419943447179
"193" "thing" 1057 0.000700121014294524
"194" "someone" 1043 0.000690847888277378
"195" "yeah" 1040 0.000688860789845132
"196" "s" 1039 0.00068819842370105
"197" "doing" 1024 0.000678262931539822
"198" "help" 1017 0.000673626368531249
"199" "those" 1013 0.000670976903954922
"200" "tell" 1011 0.000669652171666758
"201" "amazing" 1006 0.000666340340946349
"202" "ðÿ" 1001 0.00066302851022594
"203" "call" 988 0.000654417750352876
"204" "give" 978 0.000647794088912057
"205" "many" 975 0.000645806990479811
"206" "music" 974 0.00064514462433573
"207" "miss" 973 0.000644482258191648
"208" "every" 967 0.000640508061327157
"209" "other" 965 0.000639183329038993
"210" "watching" 963 0.000637858596750829
"211" "coming" 959 0.000635209132174502
"212" "made" 955 0.000632559667598174
"213" "long" 954 0.000631897301454092
"214" "does" 953 0.000631234935310011
"215" "soon" 953 0.000631234935310011
"216" "5" 952 0.000630572569165929
"217" "friends" 951 0.000629910203021847
"218" "hate" 951 0.000629910203021847
"219" "before" 948 0.000627923104589601
"220" "tweet" 936 0.000619974710860619
"221" "days" 932 0.000617325246284292
"222" "may" 929 0.000615338147852046
"223" "live" 928 0.000614675781707964
"224" "wish" 927 0.000614013415563882
"225" "shit" 921 0.000610039218699391
"226" "stop" 917 0.000607389754123064
"227" "god" 908 0.000601428458826327
"228" "same" 904 0.00059877899425
"229" "little" 898 0.000594804797385508
"230" "start" 894 0.000592155332809181
"231" "said" 893 0.000591492966665099
"232" "another" 890 0.000589505868232853
"233" "ready" 886 0.000586856403656526
"234" "real" 885 0.000586194037512444
"235" "didn't" 877 0.000580895108359789
"236" "find" 875 0.000579570376071626
"237" "most" 860 0.000569634883910398
"238" "win" 856 0.00056698541933407
"239" "girl" 854 0.000565660687045907
"240" "cool" 850 0.000563011222469579
"241" "play" 846 0.000560361757893252
"242" "done" 844 0.000559037025605088
"243" "old" 844 0.000559037025605088
"244" "watch" 841 0.000557049927172842
"245" "anyone" 829 0.00054910153344386
"246" "two" 829 0.00054910153344386
"247" "also" 828 0.000548439167299778
"248" "talk" 824 0.000545789702723451
"249" "what's" 823 0.000545127336579369
"250" "excited" 821 0.000543802604291205
"251" "use" 812 0.000537841308994469
"252" "pretty" 811 0.000537178942850387
"253" "we're" 799 0.000529230549121404
"254" "birthday" 794 0.000525918718400995
"255" "friday" 783 0.000518632690816095
"256" "these" 776 0.000513996127807522
"257" "hard" 772 0.000511346663231194
"258" "wow" 760 0.000503398269502212
"259" "hear" 759 0.00050273590335813
"260" "maybe" 758 0.000502073537214048
"261" "sorry" 753 0.000498761706493639
"262" "around" 744 0.000492800411196902
"263" "though" 743 0.00049213804505282
"264" "thought" 738 0.000488826214332411
"265" "having" 735 0.000486839115900166
"266" "glad" 733 0.000485514383612002
"267" "makes" 730 0.000483527285179756
"268" "yet" 730 0.000483527285179756
"269" "ur" 729 0.000482864919035674
"270" "nothing" 725 0.000480215454459347
"271" "ok" 723 0.000478890722171183
"272" "working" 722 0.000478228356027101
"273" "team" 720 0.000476903623738938
"274" "10" 719 0.000476241257594856
"275" "already" 718 0.000475578891450774
"276" "wanna" 715 0.000473591793018528
"277" "try" 707 0.000468292863865874
"278" "away" 706 0.000467630497721792
"279" "put" 706 0.000467630497721792
"280" "while" 701 0.000464318667001382
"281" "trying" 697 0.000461669202425055
"282" "job" 693 0.000459019737848728
"283" "lot" 687 0.000455045540984236
"284" "party" 686 0.000454383174840154
"285" "welcome" 686 0.000454383174840154
"286" "beautiful" 684 0.000453058442551991
"287" "forward" 683 0.000452396076407909
